fundName,managerName,workingState,putOnRecordDate,establishDate,prod_comp,comp_code,count,是否量化,策略类型
财智聚信诚私募证券投资基金,北京财智聚资产管理有限公司,正在运作,2025-06-13,2025-05-28,,,1.0,0,主观多头
博琴合意二号私募证券投资基金,上海博琴资产管理有限公司,正在运作,2025-06-13,2025-04-15,,,1.0,0,主观多头
微观博易-黎夏指增七号私募证券投资基金,北京微观博易私募基金管理有限公司,正在运作,2025-06-13,2025-06-05,微观博易,P1031932,4.0,1,指数增强
千象全景多元量化3号私募证券投资基金,上海千象资产管理有限公司,正在运作,2025-06-13,2025-06-06,千象,P1006930,6.0,1,空气指增
阳岚均衡稳健1号私募证券投资基金,湖北阳岚私募基金管理有限公司,正在运作,2025-06-13,2025-04-24,,,1.0,0,主观多头
牧鑫信淮多策略13号私募证券投资基金,上海牧鑫私募基金管理有限公司,正在运作,2025-06-13,2025-06-09,,,2.0,1,空气指增
容棠博鑫9号私募证券投资基金,上海容棠私募基金管理有限公司,正在运作,2025-06-13,2025-06-10,,,1.0,0,主观多头
蒙玺信享稳进1号1期私募证券投资基金,上海蒙玺投资管理有限公司,正在运作,2025-06-13,2025-06-10,蒙玺,P1063294,2.0,1,空气指增
远瞳森茂远行一号私募证券投资基金,远瞳（天津）私募基金管理有限公司,正在运作,2025-06-13,2025-05-26,,,1.0,0,主观多头
远澜梧桐300灵活对冲私募证券投资基金,上海远澜私募基金管理有限公司,正在运作,2025-06-13,2025-06-10,,,2.0,1,市场中性
璞真稳健1号私募证券投资基金,上海璞真私募基金管理有限公司,正在运作,2025-06-13,2025-06-10,,,2.0,0,主观多头
璞真多策略1号私募证券投资基金,上海璞真私募基金管理有限公司,正在运作,2025-06-13,2025-06-10,,,2.0,0,主观多头
合骥省心享兴泰锐进1号私募证券投资基金,上海合骥私募基金管理有限公司,正在运作,2025-06-13,2025-06-09,,,3.0,1,空气指增
合骥省心享熠辉对冲1号私募证券投资基金,上海合骥私募基金管理有限公司,正在运作,2025-06-13,2025-06-10,,,3.0,1,市场中性
天算指增保护专享12号私募证券投资基金,天算量化（北京）资本管理有限公司,正在运作,2025-06-13,2025-06-10,天算,P1028908,3.0,1,指数增强
共青城国晨新能股权投资合伙企业（有限合伙）,上海国晨创业投资管理有限公司,正在运作,2025-06-13,2025-06-03,,,1.0,0,主观多头
国丰向量成长精选4号私募证券投资基金,杭州向量投资管理有限公司,正在运作,2025-06-13,2025-05-28,,,1.0,0,主观多头
盛丰盈满量选1号私募证券投资基金,海南盛丰私募基金管理有限公司,正在运作,2025-06-13,2025-06-10,,,4.0,1,空气指增
苏州嘉睿创业投资合伙企业（有限合伙）,前海亚商粤科投资管理（深圳）有限公司,正在运作,2025-06-13,2025-06-13,,,1.0,0,主观多头
天算长红指增保护专享1号私募证券投资基金,天算量化（北京）资本管理有限公司,正在运作,2025-06-13,2025-06-10,天算,P1028908,3.0,1,指数增强
宝澜竖圆致远私募证券投资基金,上海宝澜投资管理合伙企业（有限合伙）,正在运作,2025-06-13,2025-06-05,,,2.0,0,主观多头
贝寅金涛睿合私募证券投资基金,上海贝寅私募基金管理有限公司,正在运作,2025-06-13,2025-05-19,,,1.0,0,主观多头
融昊青松CTA套利三号私募证券投资基金,上海融昊投资管理有限公司,正在运作,2025-06-13,2025-06-10,,,1.0,0,主观多头
明汯广明量化1号私募证券投资基金,上海明汯投资管理有限公司,正在运作,2025-06-13,2025-06-10,明汯,P1004150,1.0,1,空气指增
九坤千乘中证1000指数增强专享14号私募证券投资基金,九坤投资（北京）有限公司,正在运作,2025-06-13,2025-06-10,九坤,P1003313,7.0,1,指数增强
坤望凌云3号私募证券投资基金,上海坤望私募基金管理有限公司,正在运作,2025-06-13,2025-06-04,,,2.0,1,空气指增
