序号,管理人名称,核心策略,管理规模,成立日期,运作中产品数,会员类型,登记编号,协会名称,comp_code,prod_comp
1,宁波灵均投资,"股票对冲,股票多头",100亿元以上,2014/6/30,650,普通会员,P1004526,宁波灵均投资管理合伙企业（有限合伙）,P1004526,灵均
2,上海衍复投资,"股票对冲,股票多头",100亿元以上,2019/7/25,645,观察会员,P1070325,上海衍复投资管理有限公司,P1070325,衍复
3,北京九坤投资,"股票对冲,股票多头",100亿元以上,2012/4/12,518,普通会员,P1003313,九坤投资（北京）有限公司,P1003313,九坤
4,上海明汯投资,"期货策略,股票对冲,股票多头",100亿元以上,2014/4/17,475,观察会员,P1004150,上海明汯投资管理有限公司,P1004150,明汯
5,上海宽德,"期货策略,股票对冲,股票多头",100亿元以上,2014/11/12,459,观察会员,P1005623,上海宽德私募基金管理中心（有限合伙）,P1005623,宽德
6,宁波幻方量化投资,股票多头,100亿元以上,2016/2/15,365,观察会员,P1032021,宁波幻方量化投资管理合伙企业（有限合伙）,P1032021,幻方
7,海南世纪前沿,"期货策略,股票对冲,股票多头",100亿元以上,2015/8/24,356,观察会员,P1068951,海南世纪前沿私募基金管理有限公司,P1068951,世纪前沿
8,上海黑翼资管,"期货策略,股票对冲,股票多头,多资产策略",100亿元以上,2014/5/5,345,普通会员,P1004419,上海黑翼资产管理有限公司,P1004419,黑翼
9,上海因诺资管,"期货策略,股票对冲,股票多头",100亿元以上,2014/9/24,286,观察会员,P1006164,因诺（上海）资产管理有限公司,P1006164,因诺
10,上海启林投资,"股票对冲,股票多头",100亿元以上,2015/5/28,279,观察会员,P1064525,上海启林投资管理有限公司,P1064525,启林
11,深圳诚奇资管,"期货策略,股票对冲,股票多头",100亿元以上,2013/9/24,277,观察会员,P1001430,深圳诚奇资产管理有限公司,P1001430,诚奇
12,上海鸣石,"期货策略,股票对冲,股票多头",100亿元以上,2010/12/9,251,观察会员,P1005659,上海鸣石私募基金管理有限公司,P1005659,鸣石
13,北京卓识,"股票对冲,股票多头",100亿元以上,2016/4/22,247,观察会员,P1063264,北京卓识私募基金管理有限公司,P1063264,卓识
14,珠海阿巴马,股票多头,100亿元以上,2014/2/13,238,观察会员,P1005008,珠海阿巴马私募基金投资管理有限公司,P1005008,阿巴马
15,北京博润银泰投资,"期货策略,套利策略",100亿元以上,2012/11/16,236,观察会员,P1002960,北京博润银泰投资管理有限公司,P1002960,博润银泰
16,上海天演,股票多头,100亿元以上,2014/8/5,198,观察会员,P1004907,上海天演私募基金管理有限公司,P1004907,天演
17,上海稳博投资,"股票对冲,股票多头",100亿元以上,2014/10/16,196,观察会员,P1029043,上海稳博投资管理有限公司,P1029043,稳博
18,上海思勰投资,股票多头,100亿元以上,2016/1/28,189,普通会员,P1032873,上海思勰投资管理有限公司,P1032873,思勰
19,上海千象资产,"期货策略,股票多头",100亿元以上,2014/7/4,188,观察会员,P1006930,上海千象资产管理有限公司,P1006930,千象
20,广东玄元,"股票对冲,股票多头",100亿元以上,2015/7/21,182,普通会员,P1029168,玄元私募基金投资管理（广东）有限公司,P1029168,玄元
21,北京聚宽投资,"股票对冲,股票多头",100亿元以上,2017/3/20,180,观察会员,P1066435,北京聚宽投资管理有限公司,P1066435,聚宽
22,上海佳期,股票多头,100亿元以上,2014/11/28,179,观察会员,P1033156,上海佳期私募基金管理有限公司,P1033156,佳期
23,宁波金戈量锐资管,"股票对冲,股票多头",100亿元以上,2014/11/12,170,观察会员,P1008220,宁波金戈量锐资产管理有限公司,P1008220,金戈量锐
24,上海量派投资,"期货策略,股票多头",100亿元以上,2015/7/15,168,观察会员,P1071253,上海量派投资管理有限公司,P1071253,量派
25,上海锐天投资,"期货策略,股票对冲,股票多头,多资产策略",100亿元以上,2013/11/26,159,观察会员,P1024169,上海锐天投资管理有限公司,P1024169,锐天
26,杭州龙旗科技,"股票对冲,股票多头",100亿元以上,2011/10/28,154,普通会员,P1000676,杭州龙旗科技有限公司,P1000676,龙旗
27,珠海致诚卓远投资,"股票对冲,股票多头",100亿元以上,2017/6/19,145,观察会员,P1065479,致诚卓远（珠海）投资管理合伙企业（有限合伙）,P1065479,致诚卓远
28,北京信弘天禾投资,"股票对冲,股票多头",100亿元以上,2012/10/8,138,观察会员,P1019933,北京信弘天禾资产管理中心（有限合伙）,P1019933,信弘天禾
29,上海金锝资管,股票多头,100亿元以上,2011/11/25,128,普通会员,P1008275,上海金锝私募基金管理有限公司,P1008275,金锝
30,北京乾象,"股票对冲,股票多头",100亿元以上,2018/5/22,118,观察会员,P1071383,北京乾象私募基金管理有限公司,P1071383,乾象
31,北京正定,"期货策略,股票多头",100亿元以上,2022/2/16,117,,P1073791,北京正定私募基金管理合伙企业（有限合伙）,P1073791,正定
32,海南进化论,股票多头,100亿元以上,2014/6/4,103,观察会员,P1006079,海南进化论私募基金管理有限公司,P1006079,进化论
33,南京盛泉恒元投资,"股票对冲,股票多头,套利策略",100亿元以上,2014/7/8,101,普通会员,P1006545,南京盛泉恒元投资有限公司,P1006545,盛泉恒元
34,上海顽岩,"股票对冲,股票多头",100亿元以上,2015/11/17,101,观察会员,P1034708,上海顽岩私募基金管理有限公司,P1034708,顽岩
35,海南图灵,股票多头,100亿元以上,2015/12/17,89,观察会员,P1071836,图灵私募基金管理（海南）有限公司,P1071836,图灵
36,珠海宽德,"期货策略,股票对冲",100亿元以上,2014/9/19,82,,P1031924,珠海宽德私募基金管理有限公司,P1031924,宽德
37,上海睿量,股票多头,100亿元以上,2022/7/7,77,观察会员,P1073883,上海睿量私募基金管理有限公司,P1073883,睿量
38,浙江九章资管,股票多头,100亿元以上,2015/6/11,61,观察会员,P1020148,浙江九章资产管理有限公司,P1020148,幻方
39,上海一村投资,股票多头,50-100亿元,2010/5/12,203,观察会员,P1000869,上海一村投资管理有限公司,P1000869,一村
40,上海宽投资管,股票多头,50-100亿元,2014/12/8,183,观察会员,P1010769,上海宽投资产管理有限公司,P1010769,宽投
41,上海正瀛资管,"期货策略,股票多头,期权策略",50-100亿元,2015/7/31,174,观察会员,P1060813,上海正瀛资产管理有限公司,P1060813,正瀛
42,上海蒙玺投资,"股票对冲,股票多头",50-100亿元,2016/1/19,141,观察会员,P1063294,上海蒙玺投资管理有限公司,P1063294,蒙玺
43,上海赫富投资,"股票对冲,股票多头",50-100亿元,2016/3/21,140,观察会员,P1062959,上海赫富投资有限公司,P1062959,赫富
44,上海洛书投资,"期货策略,股票对冲,股票多头,多资产策略",50-100亿元,2015/2/26,138,观察会员,P1015392,上海洛书投资管理有限公司,P1015392,洛书
45,深圳凯丰投资,"期货策略,多资产策略",50-100亿元,2011/8/26,128,普通会员,P1000482,深圳市凯丰投资管理有限公司,P1000482,凯丰
46,上海石锋资管,股票多头,50-100亿元,2015/7/27,121,普通会员,P1021826,上海石锋资产管理有限公司,P1021826,石锋
47,北京天算,"股票对冲,股票多头",50-100亿元,2015/11/18,121,观察会员,P1028908,天算量化（北京）资本管理有限公司,P1028908,天算
48,上海千衍,"期货策略,股票对冲,股票多头",50-100亿元,2015/1/13,119,观察会员,P1009640,千衍私募基金管理（上海）有限公司,P1009640,千衍
49,北京微观博易,"股票对冲,股票多头",50-100亿元,2015/12/31,111,观察会员,P1031932,北京微观博易私募基金管理有限公司,P1031932,微观博易
50,横琴均成资管,"期货策略,多资产策略",50-100亿元,2016/10/17,106,观察会员,P1061222,横琴均成资产管理有限公司,P1061222,均成
51,上海艾方资管,"期货策略,股票多头",50-100亿元,2012/3/14,103,观察会员,P1003401,上海艾方资产管理有限公司,P1003401,艾方
52,上海展弘投资,"期货策略,套利策略",50-100亿元,2014/12/24,101,观察会员,P1015638,上海展弘投资管理有限公司,P1015638,展弘
53,上海量魁,"期货策略,股票对冲,股票多头,期权策略",50-100亿元,2015/9/9,98,,P1062372,上海量魁私募基金管理有限公司,P1062372,量魁
54,深圳前海博普资管,"期货策略,多资产策略",50-100亿元,2015/11/24,97,观察会员,P1067653,深圳前海博普资产管理有限公司,P1067653,博普
55,杭州念觉资管,,50-100亿元,2017/3/24,86,观察会员,P1066462,杭州念觉资产管理有限公司,P1066462,念空
56,宁波平方和投资,"股票对冲,股票多头",50-100亿元,2015/8/26,84,观察会员,P1025836,宁波平方和投资管理合伙企业（有限合伙）,P1025836,平方和
57,北京涵德投资,期货策略,50-100亿元,2013/8/28,78,观察会员,P1001739,北京涵德投资管理有限公司,P1001739,涵德
58,深圳量道投资,"股票对冲,股票多头",50-100亿元,2015/4/16,75,观察会员,P1016658,深圳量道投资管理有限公司,P1016658,量道
59,深圳前海超量子基金,"股票对冲,股票多头",50-100亿元,2015/6/16,69,观察会员,P1071044,深圳市前海超量子基金管理有限公司,P1071044,超量子
60,上海拾贝能信,"股票对冲,股票多头",50-100亿元,2014/3/28,60,普通会员,P1001236,上海拾贝能信私募基金管理合伙企业（有限合伙）,P1001236,拾贝
61,上海德贝,"期货策略,股票多头",50-100亿元,2019/9/27,60,观察会员,P1071472,上海德贝私募基金管理有限公司,P1071472,德贝
62,上海鸣熙资管,"股票对冲,股票多头,套利策略",50-100亿元,2014/12/2,58,观察会员,P1033450,上海鸣熙资产管理有限公司,P1033450,鸣熙
63,深圳博普科技,"期货策略,套利策略",50-100亿元,2012/7/19,57,观察会员,P1001724,深圳博普科技有限公司,P1001724,博普
64,上海磐松,"股票对冲,股票多头",50-100亿元,2022/6/29,51,观察会员,P1074204,上海磐松私募基金管理有限公司,P1074204,磐松
65,上海象限资管,期货策略,50-100亿元,2015/5/25,49,观察会员,P1015598,上海象限资产管理有限公司,P1015598,象限
66,鲁民投基金,,50-100亿元,2018/5/11,42,观察会员,P1069017,鲁民投基金管理有限公司,P1069017,鲁民投
67,上海喜岳投资,股票多头,50-100亿元,2014/10/20,21,观察会员,P1008265,上海喜岳投资管理有限公司,P1008265,喜岳
68,,,,,,,,海南盛丰私募基金管理有限公司,,
69,,,,,,,,上海合骥私募基金管理有限公司,,
70,,,,,,,,北京乐水私募基金管理有限公司,,
71,,,,,,,,深圳翰荣私募证券基金管理有限公司,,
72,,,,,,,,上海牧鑫私募基金管理有限公司,,
73,,,,,,,,上海远澜私募基金管理有限公司,,
74,,,,,,,,上海坤望私募基金管理有限公司,,
75,,,,,,,,茂源量化（海南）私募基金管理合伙企业（有限合伙）,,
76,,,,,,,,广州守正用奇私募基金管理有限公司,,
77,,,,,,,,上海半鞅私募基金管理合伙企业（有限合伙）,,
78,,,,,,,,海南三亚香农私募基金管理有限公司,,
79,,,,,,,,衍合投资管理（青岛）有限公司,,
80,,,,,,,,南京倍漾私募基金管理有限公司,,
81,,,,,,,,榕树海私募基金管理（珠海）有限责任公司,,
82,,,,,,,,海南正仁量化私募基金管理有限公司,,
